AdminStrata,Damascus,Aleppo,Rural Damascus,Homs,Hama,Lattakia,Idleb,Al-Hasakeh,Deir-ez-Zor,Tartous,Ar-Raqqa,Dar'a,As-Sweida,Quneitra
Indicator,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
2018-09-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-10-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-11-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-12-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2019-01-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
